Grootteorde anomalie(ën);Anomalie(ën) gedetecteerd;Holte (m);Opgeruimd door firma;Opgeruimd tot op;Code;Bouwjaar;Afgedregde diepte (m);Afgedregd op;Easting;Northing;Wrak Type;Gevonden door;Gevonden op;Tonnenmaat bruto;Kroniek;Lengte (m);Breedte (m);Naam bevestigd;Beschermd als War Grave (GB);Materiaal;Diepte ondiepste punt (m, t.o.v. LAT);Recentste magnetometriemeting op;Recentste multibeammeting absolute hoogte (m);Recentste multibeammeting strekking (°);Recentste multibeammeting op;Recentste multibeammeting lengte (m);Recentste multibeammeting coördinaten ondiepste punt (lat-long);Recentste multibeammeting ondiepste punt (m, tov LAT);Recentste multibeammeting min. diepte omringende bodem (m, tov LAT);Recentste multibeammeting breedte (m);Recentste Berichten aan Zeevarenden;Recentste side scan sonarmeting strekking (°);Recentste side scan sonarmeting op;Recentste side scan sonarmeting lengte (m);Recentste side scan sonarmeting breedte (m);Recentste multibeammeting;Naam;Vlaggenstaat;Oude benamingen;Eigenaar;Beschermd als cultureel erfgoed onder water;Toestand;Geborgen op;Werf;Teken op kaart;Staat;Gezonken tijdens oorlogsdienst;Gezonken op;Type;Heeft Historische Beelden;Heeft Sounding Beelden;Heeft Pointcloud;
;;2.2;Tijdelijke Vereniging voor Bergingswerken;bodem;BE-122-311-01;1917.0;10.5;12/05/1989;513525.0;5690637.0;Wrak;;;381.0;"Op 15 augustus 1918 voer de A-58 samen met de A-61 en A-80 uit om mijnen te gaan ruimen in zone 857K, bezuiden de Vlakte van de Raan. Op 4 uur tijd konden ze 6 mijnen ruimen.
Op de terugreis naar Zeebrugge voer de A-58 tegen een mijn en liep langzaam vol water. 
Er werd met assistentie van de A-61 en A-80 getracht het schip tot Zeebrugge te brengen, wat lukte tot vlak buiten het havenhoofd.
Om 11u45 scheurde de romp en het vaartuig verging.
Bij de ontploffing kwamen 3 mannen om het leven.";61.1;6.4;Ja;Neen;Staal;13.2;;0.9;;25/03/2022;70.0;"513522; 5690643";13.2;14.1;50.0;1989 / 14-110;;;;;;torpedoboot A-58;Duitsland;nvt;Keizerlijk Marine, DE;;Nog een groot aantal brokstukken te vinden, verspreid over een gebied van ongeveer 70 bij 50 meter.;01/01/1988;AG Vulcan, Hamburg, DE;#;Geborgen;WO I;15/08/1918;Torpedoboot;;;;
;;;;;BE-115-256-04;1916.0;;;496289.4;5677674.1;Wrak;;;27.0;"Dit wrak betreft mogelijks hafenschutzboot M-3214, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de M-3214. 

Het voormalige Deense vissersschip werd in 1940 overgenomen door de Kriegsmarine  en omgebouwd tot Hafenschutzboot. Het kreeg de nieuwe naam M-3214.
Op 26 oktober 1941 strandde het in Bredene en kon niet meer gered worden.";;;Neen;Neen;Hout;2.1;;;;27/03/2025;;;2.1;;;;;;;;;hafenschutzboot M-3214;Duitsland;E.12 KAJ;Kriegsmarine, DE;;er zijn 2 grote wrakken te zien , waarschijnlijk betrefd dit niet de Hafenschutzboot;;Aarhus, DK;geen;Plat maar samenhangend op zeebodem;WO II;26/10/1941;;;;;
;;8.2;Ackermans & Van Haaren;;BE-121-259-01;1909.0;;;499210.7;5689581.0;Wrak;;;424.0;"SS Croxteth Hall raakte op 27 februari 1929, toen het op weg was van Port Sudan naar Antwerpen, een zandbank.
De romp raakte hierdoor zwaar beschadigd, en het schip verging in ondiep water.";111.0;14.4;Ja;Neen;Staal;9.2;;0.1;18.3;06/03/2024;2.0;499193     5689574;9.2;9.2;2.0;1963 / 07-050;;;;;;SS CROXTETH HALL;Verenigd Koninkrijk;SS ETHA RICKMERS, SS KATCHA, SS ETHA RICKMERS;Ellerman Hall Line Ltd., Liverpool, UK;;enkele fragmenten;01/03/1963;Rickmers Reismühlen Rhederei & Schiffbau A.G., Bremerhaven, Wesermünde, DE;#;Enkele fragmenten;Neen;27/02/1929;Vrachtschip;;;;
;;;;;BE-119-258-01;;;;498699.4;5686189.7;Wrak;;;;"Dit wrak betreft mogelijks de MY Isla Blanca, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Isla Blanca. 

De Isla Blanca bevond zich in de nacht van 30 juli 1982 op 6 mijl voor Blankenberge. 
Er brak brand uit en een ontploffing volgde. 
Er werd getracht het schip te slepen, maar de Isla Blanca zonk een de noordelijke rand van de Wenduinebank. 
De Duitse politie ging ervanuit dat de brand werd aangestoken door de eigenaar.";;;Neen;Neen;Hout;6.3;;;;06/03/2024;;;6.3;6.4;;;;;;;;MY ISLA BLANCA;Duitsland;;Dieter Postel, Keulen, DE;;niets meer te zien op deze locatie;;;geen;Verzand, geen zichtbare resten;Neen;30/07/1982;Motorjacht;;;;
;;;;;BE-117-253-01;1941.0;5.0;09/11/1981;491846.1;5681648.9;Wrak;;;3373.0;"Toen rond de middag de wind opstak met een kracht van 6 à 7 Bft, besloot de schipper van de Hoop op Vrede het vissen te stoppen en terug te keren naar Oostende. 
Door een verstopping kon de bilge-pomp geen water meer buiten boord pompen, en liep het schip langzaam vol. Dit werd pas opgemerkt toen er reeds 10cm water boven de vloerplaten stond, te laat om de leidingen te kunnen controleren. Pas 35 minuten later werd sleephulp gevraagd. Loodsboot 5 had de oproep gehoord en bood zijn hulp aan, maar deze werd geweigerd. Een uur later pas kon de Zeetijger de Hoop op Vrede op sleep nemen. Het water was intussen gestegen tot 1m20 boven de vloerplaten. Nog een kwartier later spoelde het water over het dek, waardoor de bemanning moest afgehaald worden. N.741 zonk 20 minuten later, om 16u05, ten oostzuidoosten van de Wenduinebankboei.";;;Ja;Neen;Hout;6.3;;1.0;46.4;20/03/2024;11.3;491840   5681649;6.3;7.3;6.8;1997 / 06-073;;;;;;N.741 HOOP OP VREDE;België;nvt;Henri & Nestor Desaever;;;;H. Deweert-Crekillie & Zonen, Oostende, BE;#;Enkele fragmenten;Neen;14/08/1967;Vissersboot;;;;
;;;;;BE-124-312-01;1510.0;;;514781.0;5696002.0;Wrak;;;;;;;Neen;Neen;Hout;10.4;;0.5;12.8;05/05/2023;3.4;"514781; 5696002";10.4;10.9;1.0;1992 / 91-326;;;;;;onbekend;;;;;"Het wrak werd in 1990 ontdekt toen een visser met zijn net was blijven haperen en nadien een merkwaardige koperen kandelaar aan boord heiste. 
Duikonderzoek op de site wees op een groot aantal objecten, gaande van kandelaars, tinnen en koperen voorwerpen, over kanonskogels en houten tonnen. Ook de spantstructuren van het wrak waren voelbaar.
Er werden heel wat objecten geborgen, die gedateerd konden worden tussen 1510 en 1520. Een groot deel van deze vondsten is te bezichtigen in het Gruuthuusemuseum in Brugge. ";;;#;Enkele fragmenten;;31/12/1510;Kraak;;;;
;;4.1;;;BE-143-237-01;1960.0;;;473621.6;5729860.7;Wrak;;;692.0;"In een dichte mist op 11 april 1969 werd de Alfonso Tercero aangevaren door de Zweedse MV Brasilia (10000 brt).
Het schip begon onmiddellijk te zinken. De bemanning had maar net de tijd om de reddingsboten neer te laten. 
Na een half uur was het schip onder de golven verdwenen. 
De dertien opvarenden werden door de Brasilia in Rotterdam afgezet.";59.9;9.2;Ja;Neen;Staal;23.0;;2.0;31.6;28/09/2017;60.0;"473616.76; 5729847.31";23.0;25.0;10.0;;;;;;;MV ALFONSO TERCERO;Spanje;nvt;Cia Maritima Golfo de Vizcaya SA, Bilbao, ES;;"Het schip staat rechtop op de zeebodem.
De boeg vertoont aan stuurboord zware beschadigingen, en er is een grote scheur tussen luiken 1 en 2.";;Astilleros del Cadagua, Bilbao, ES;20,4 Wk_;Intact;Neen;11/04/1969;Vrachtschip;1.0;1.0;1.0;
;;;;;BE-108-241-01;;;;478184.2;5666138.6;Wrak;;;;;;;Neen;Neen;;0.7;;;;;;;0.7;;;;;;;;;onbekend;;;;;;;;geen;Verzand, geen zichtbare resten;;;Vissersboot;0.0;0.0;0.0;
;;;;;BE-113-231-01;1964.0;13.7;18/02/1994;466388.0;5674589.0;Wrak;;;3933.0;"Op 12 mei 1972 was de Z.577 Sabrina aan het vissen in de omgeving van de Buitenratelbank, toen om 21u50 het stuurboordnet vastsloeg en het schip slagzij begon te maken over stuurboord. Toen bij het ophalen van de netten het bakboordnet tegen de voormast sloeg, kapseisde het schip. 
De Z.577 dreef een tijd met de kiel omhoog. Er werd nog geprobeerd het schip richting de kust op te slepen, maar dit bleek tevergeefs. De Z.577 zonk op 13 mei 1972 om 01u00.";18.0;5.0;Ja;Neen;Staal;15.2;;1.0;107.3;14/03/2022;17.1;"466383; 5674589";15.2;16.2;5.3;1994 / 06-068;;;;;;Z.577 SABRINA;België;nvt;Joseph Welvaert-Bailleul, Zeebrugge;;;;Hoekman & Zn., Urk, NL;13,6 Wk_;Intact;Neen;13/05/1972;Vissersboot;1.0;1.0;1.0;
;;;;;BE-117-241-02;;;;478221.9;5681392.1;Wrak;;;2.0;"De Rita lag voor anker, ongeveer 500m ten zuiden van het wrak van de Waverley, toen het werd aangevaren door de N.141 en verging.
De opvarende kon gered worden.";7.0;2.0;Ja;Neen;Polyester;20.1;;;;;;;20.1;;;;;;;;;RITA;België;;André Buyl, Geraardsbergen, BE;;"Het wrak bevind zich niet meer op de oorspronkelijke locatie, maar werd door zijn lichte contstructie verplaatst door stormen. 
Resten werden vlak bij het wrak van HMS Waverley teruggevonden.";;;16.5 Wk;Stukgeslagen;Neen;06/04/1995;Motorjacht;0.0;0.0;0.0;
;;;;;BE-136-224-01;;;;458974.0;5718254.8;Wrak;;;;;;;Neen;Neen;;31.0;;4.5;170.0;28/09/2017;58.3;;31.0;35.5;14.9;1995 / 19-141;;;;;;onbekend;;;;;Door zijn grote afmetingen en ligging in het tweede scheepvaartpas vormde het wrak een hindernis. Hierdoor werd het wrak in 1982 met explosieven afgevlakt. ;;;29,5 Wk_;Enkele fragmenten;;;;0.0;1.0;1.0;
;;;;;OB-125-308-01;;;;510326.0;5696993.0;Wrak;;;;;;;Neen;Neen;;2.4;;2.6;139.5;05/05/2023;71.1;"510325; 5697004";2.4;5.0;48.3;2004 / 21-146;;;;;;steenbestorting;;;;;"Deze obstructie bestaat uit steenbestorting en bevindt zich in de onmiddellijke omgeving van de verwijderde meetpaal MOW 5. 
De bestorting verhoogt de omringende bodem met 1,95 m zodat de kaartdiepte 2.50 m wordt ipv 4.45 m.";;;2,3 Obstn;;;;;;;;
;;3.7;;;BE-136-258-01;1916.0;;;497678.7;5717571.8;Wrak;;;504.0;"Op 11 oktober 1917, om 17u35, vertrok de UC-62 op zijn 9de en laatste missie richting Engelse zuidwestkust om aldaar mijnen te leggen en handelsoorlog te voeren aan de westelijke uitgang van het Kanaal. 
In dit mijnenveld verging uiteindelijk 3 schepen.
Op 19 oktober zette het de achtervolging op een vrachtschip in en wist deze omstreeks 7 uur tot zinken te brengen. Een Britse onderzeeër had dit gade geslaan, en toen de UC-62 van koers veranderde en niets vermoedend richting de Britse HMS E-45 voer vuurde deze laatste torpedo's af. Om 7u12 weerklonk een slag waarna de UC-62 verging.";51.8;5.2;Ja;Neen;Staal;28.6;;;125.0;28/04/2022;33.0;497667   5717562;28.6;;7.5;2000 / 10-113;;;;;;unterseeboot UC-62;Duitsland;;Keizerlijke Marine, DE;;"Het wrak van de UC-62 ligt rechtop met een sterke verzanding midscheeps. De boeg bevindt zich in een schuurput. 
De toren is enkele jaren geleden omver getrokken en en uiteengeslagen door zware sleepnetten. Ook het kanon is waarschijnlijk van zijn plaats ";;AG Weser, Bremen, DE;28,0 Wk_;Gebroken;WO I;19/10/1917;Duikboot;;;;
;;;;;BE-129-306-01;1941.0;2.1;;507434.7;5703824.9;Wrak;;;1931.0;"Z.442 was op 15 april 1961 aan het vissen aan de Vlakte van de Raan toen de korre aan bakboord vast sloeg. Reactie hierop was het laten uitlopen van het touw, maar ook dat geraakte vast waardoor het schip slagzij over bakboord kreeg.
Geen enkele actie baatte, de slagzij werd groter en water begon het visruim in te lopen. 
Het vlot werd in het water geworpen en het schip werd verlaten. Op hetzelfde moment is de Z.422 volledig gekapseisd waardoor enkel de kiel nog boven dreef. 
Het schip zonk even later.";;;Ja;Neen;Hout;15.4;;;;28/03/2007;;;15.4;;;1961 / 13-096;;;;;;Z.442 JEANNINE ANDRE;België;;Léon Adams, BE;;;;E. Crabeels, Oostende, BE;2,1 Wk_;Enkele fragmenten;Neen;15/04/1961;Vissersboot;1.0;0.0;0.0;
;;;;;BE-113-251-03;1928.0;;;489865.3;5675378.9;Wrak;;;814.0;"Dit wrak betreft mogelijks de O.64 Leo-Jean, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de O.64. 

Na een aanvaring met O.718 was de voorsteven van O.64 was volledig ontzet en zonk snel. De twee opvarenden konden overboord springen en werden door O.718 gered. ";;;Neen;Neen;Hout;2.4;;;;16/02/2024;;;2.4;;;;;;;;;O.64 LEO-JEAN;België;O.64 EMILE-LOUIS;Frans Deley, Oostende;;niets meer te zien;;Ackein, Oostende;geen;Geborgen;Neen;03/06/1966;Vissersboot;;;;
;;;;;BE-137-238-01;1910.0;;;474789.9;5718929.8;Wrak;;;135.0;De Timor was onderweg van Rotterdam naar Engeland toen het door de UC-64 tot zinken werd gebracht.;;;Ja;Neen;Staal;36.4;;;176.0;06/10/1997;25.0;"474792.00; 5718934.00";36.4;;5.0;1997 / 22-160;;;;;;MV TIMOR;Nederland;nvt;Hollandsche Zeevaart Maatschappij, Vlaardingen, NL;;;;J.S. Figee, Vlaardingen, NL;33,0 Wk;Enkele fragmenten;Neen;16/07/1917;Vrachtschip;0.0;1.0;0.0;
;;3.7;;;BE-121-238-01;1915.0;16.4;02/07/1986;474847.0;5689160.0;Wrak;;;292.0;"De UB-20 had de opdracht om geallieerde vaartuigen te vernietigen in het gebied van de Hoofden, Noordhinder en westelijke uitgang van het kanaal. 
Na de vierde vaart ging de duikboot via het kanaal Oostende-Bugge naar de Kaiserliche Werft voor een onderhoud, daar UB-20 na een aanval met dieptebommen begin april 2017 problemen had gehad met kompas en periscoop. Verder waren er ook problemen aan het voorschip waar enkele bevestigingsbouten het door de waterdruk hadden begeven, en waar nu het manschapsluik en de torpedoluiken moeilijk te sluiten waren.
Toen UB-20 in de achterhaven van Brugge lag, werd hij bij een luchtaanval op de stad beschadigd. Er volgden vijf weken van reparatiewerken. 
Op 28 juli 1917, om 11u40, verliet hij de haven van Oostende voor een testvaart op grotere diepte. Het is op deze testvaart dat de UB-20 terechtkomt in een nieuw Brits mijnenveld. Er volgen 2 ontploffingen, en de UB-20 zinkt. 
Alle zeventien opvarenden komen om het leven.";36.1;4.4;Ja;Neen;Staal;18.2;;1.8;45.8;03/04/2017;33.9;"474849; 5689162";18.2;20.0;5.0;1997 / 05-069;;05/10/1993;;;;unterseeboot UB-20;Duitsland;nvt;Keizerlijk Marine, DE;Cultureel erfgoed onder beschermingsmaatregelen;UB-20 is ter hoogte van de machinekamer in twee gescheurd. Beide delen liggen in rechte lijn met elkaar, op een afstand van ongeveer 4 meter. ;;Blohm & Voss, Hamburg, DE;16,3 Wk_;Gebroken;WO I;28/07/1917;Duikboot;1.0;1.0;1.0;
;;3.0;;;BE-109-239-01;1918.0;1.6;28/04/1988;476134.9;5666719.2;Wrak;TER STREEP (VH);;1100.0;"Op 19 mei 1940 bevond de HMS Whitley zich, samen met HMS Keith en de Poolse Burza, op patrouille aan de Vlaamse kust toen drie stuka's hen aanvielen. HMS Whitley werd meteen geraakt, munitie ontbrande en het achterdek stond niet veel later in lichterlaaie. De overlevende bemanning werd overgenomen door de twee andere schepen, waarna HMS Whitley naar ondieper water gesleept werd door HMS Keith, om aldaar vernietigd te worden. 
HMS Whitley was één van de vele V & W-class destroyers die waren voorzien van zeer krachtige stoomturbines waarmee een snelheid van 34 knopen (63km/u) kon gehaald worden. ";95.0;9.0;Ja;Ja;Staal;2.8;;1.5;311.0;20/02/2025;75.4;;2.8;4.3;9.0;1996 / 17-129;;;;;;HMS WHITLEY;Verenigd Koninkrijk;;Royal Navy, UK;;;;Doxford, UK;1,4 Wk_;Bovendek herkenbaar;WO II;19/05/1940;Torpedobootjager;;;;
;;;Ackermans & Van Haaren;volledig;BE-121-312-03;1937.0;;;514229.8;5688767.2;Wrak;;;780.0;"Op 12 mei 1940 kwam de MV Jura, geladen met Diesel en komende van Vlissingen, tot ontploffing op 100m van de toenmalige havendam van Zeebrugge. 
De bemanning werd gered door het Belgische Marinekorps.";66.0;8.2;Ja;Neen;Staal;10.0;;;;26/05/2023;;;;;;;;;;;;MV JURA;Zwitserland;;Citerna Basel A.G., Basel, CH;;;01/01/1962;Jos Boël & Zonen, Temse, BE;geen;Geborgen;Neen;12/05/1940;Tanker;0.0;1.0;0.0;
;;3.7;;;BE-140-225-01;1916.0;;;459779.0;5725648.0;Wrak;;;292.0;"De Duitse duikboot UB-32 (UB II-klasse) verliet op 10 september 1917 de haven van Zeebrugge. Waarschijnlijk werd het twaalf dagen later, op 22 september 1917, gebombardeerd door een Brits vliegtuig. De UB-32 trachtte nog te ontsnappen door te duiken, maar werd zwaar getroffen door 2 bommen. De duikboot verging onmiddellijk. 
Alle 24 bemanningsleden kwamen hierbij om het leven.";36.1;4.4;Neen;Neen;Staal;33.0;;6.0;226.0;28/09/2017;28.1;"459776.91; 5725648.46";33.0;39.0;4.2;;;;;;;unterseeboot UB-32;Duitsland;nvt;Keizerlijke marine, DE;In onderzoek;"Het voorschip is volledig vernield, het achterschip goed intact.
Kon worden geïdentificeerd door een inscriptie in één van de schroeven.";;Blohm & Voss, Hamburg, DE;geen;Scheepsvorm goed herkenbaar;WO I;22/09/1917;Duikboot;1.0;1.0;1.0;
;;10.4;;1380.0;BE-121-254-01;1931.0;;;493038.8;5688721.0;Wrak;;;8208.0;"Op 15 april 1945 bevond de Gold Shell zich in een konvooi van dertig schepen richting Antwerpen. Aan boord een zeer ontvlambare lading van 8297 ton 100 octaan-kerosinebrandstof.
Het konvooi voer in twee dubbele lijnen. Even voor boei NF 9 werd bevolen om de schepen te ondubbelen en de snelheid van 7 mijl niet te overschrijden, om het gevaar van akoustische mijnen tegen te gaan.
Rond 12u10 op 16 april weerklonk een zware ontploffing. De Gold Shell was midscheeps getroffen en stond in lichterlaaie. Zware ontploffingen en hoge vlammen volgden elkaar op.
Slechts dertig van de vierenzestig opvarenden konden worden gered, en vijf van hen stierven later nog aan hun verwondingen.
Het schip bleef nog drie dagen voort branden vooraleer het verging. 
Het is niet duidelijk of de ramp het gevolg was van een mijn of een aanval.";137.5;18.9;Ja;Neen;Staal;14.2;;;;02/05/2024;;;;14.2;;1961 / 10-077;;;;;;MV GOLD SHELL;Verenigd Koninkrijk;;Anglo-Sexan Petroleum Co. Ltd., London, UK;;"Het wrak stak een tijdlang boven het wateroppervlak uit. 
Pas in 1961 werd het wrak door de firma Ackermans & Van Haaren geruimd. Er blijft nog weinig over. Wrakresten liggen over de bodem verspreid, en zijn grotendeels begraven.";24/04/1961;Bremer Vulkan, Bremen-Vegesack, DE;#;Enkele fragmenten;WO II;16/04/1945;Tanker;;;;
;;;;;BE-117-225-01;1850.0;25.7;07/09/1988;459458.0;5681797.1;Wrak;;;;;;;Neen;Neen;Hout;28.5;;3.1;176.0;13/05/2019;12.3;"459461.00; 5681801.00";28.5;31.6;6.0;1996 / 17-129;;;;;;onbekend;;;;;De wrakresten bevinden zich in een ovalen heuvel van zo'n 4 à 5 meter hoogte. Een scheepsstructuur is niet meer te herkennen, maar door de aanwezigheid van een zware houten balk en losliggende koperen nagels kan afgeleid worden dat het zeker om een houten vaartuig gaat.;;;25,0 Wk_;Enkele fragmenten;;;Schoener;0.0;1.0;0.0;
;;5.6;;bodem;BE-122-245-01;1899.0;17.0;10/11/1983;482722.8;5691337.7;Wrak;;;1240.0;"De SS Ino was zwaar geladen met verschillende metalen toen het tot zinken kwam.
In de namiddag van 14 november 1937 was de wind zodanig in kracht toegenomen dat het schip hevig rolde. Om 13u20 werd een lichte slagzij over stuurboord waargenomen.
Om 14u45 was de slagzij al vermeerderd van 3° tot 5°, toen werd vastgesteld dat de lading verschoven was tegen de bakboordwand. 
Tegen 15u10 was er een ronduit gevaarlijk slagzij van 10°. Het schip was niet meer onder controle te houden en de bemanning werd bevolen zich naar de reddingssloepen te begeven. 
De kapitein liet kort hierna het anker zakken, legde het schip met z'n kop in de wind. Tegen 16u15 was er spraken van een slagzij van 25°.
Alle opvarenden konden door een loodsboot overgenomen worden. Het schip bleef nog 12 uur drijven, en verging uiteindelijk op 15 november, om 4 uur.";76.6;10.6;Ja;Neen;Staal;22.6;;-0.6;;06/11/2020;;"482722.79; 5691337.71";22.6;22.0;;2002 / 22-135;;;;;;SS INO;Verenigd Koninkrijk;;Bristol Steam Navigation Co. Ltd., Bristol, UK;;;01/01/2002;Campbeltown Shipbuilding Co., Campbeltown, UK;#;Geborgen;Neen;15/11/1937;Vrachtschip;1.0;1.0;1.0;
;;2.8;Tijdelijke Vereniging voor Bergingswerken;bodem;BE-123-305-02;1955.0;11.5;29/09/1987;505957.7;5694030.0;Wrak;;;375.0;"Op 28 februari 1987, om 09u02, werd de Franse mijnenveger aangevaren door het Liberiaanse vrachtschip Guatemala. De aanvaring gebeurde in dichte mist. 
De achtersteven van de mijnenveger werd afgevaren.
Het voorste deel van de Capella kon naar Zeebrugge worden gesleept.";48.0;9.0;Ja;Neen;Hout;11.6;;;;30/04/2024;;;;11.6;;1987 / 24-155;;;;;;M-755 CAPELLA;Frankrijk;AMS-233, MSC-233;Marine Nationale, FR;;Het wrak betrof enkel het achterschip van de Capella en werd in nog in hetzelfde jaar volledig geborgen.;07/09/1987;Felix Amyot, Cherbourg, FR;#;Geborgen;Neen;28/02/1987;Mijnenveger;1.0;1.0;0.0;
;;2.1;;;BE-119-256-01;1923.0;;;495861.8;5686710.1;Wrak;;;2588.0;"Dit wrak betreft mogelijks de H.17 Marguerite Marie, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de H.17. 

De Marguerite Marie was in de ochtend van 9 november 1931 in het Wandelaargebied op sprot aan het vissen, toen er zich om 10u15 en hevige ontploffing voordeed. Het dekluik van de machinekamer vloog hierbij tien meter de lucht in, en een zwarte rookwolk volgde. 
Het schip begon dadelijk te zinken.
De Z.28 staakte onmiddellijk het vissen om de bemanning van H.17 uit het water te halen en in Zeebrugge aan land te zetten.";14.2;4.7;Neen;Neen;Hout;8.7;;;;18/03/2024;;;8.7;9.3;;1955 / 23-113;;;;;;H.17 MARGUERITE MARIE;België;;Augustin Van Dierendonck, Heist, BE;;;;;#;Verzand, geen zichtbare resten;Neen;09/11/1931;Vissersboot;;;;
;;4.0;Ackermans & Van Haaren;bodem;BE-116-253-01;1943.0;;;491883.3;5679474.1;Wrak;;;1141.0;"De Rio Bravo was een olietanker ontworpen om dieselolie te vervoeren. Alle tankers van het T1-type werden genoemd naar de belangrijkste olievelden in de VS. 
De Rio Bravo bevond zich op 2 november 1944 voor anker op 2 mijl ten noorden van de havenhoofden van Oostende. De volgende ochtend zou het doorvaren naar Southend. 
Het schip werd echter verkeerdelijk aanzien als varende in konvooi met een aantal andere schepen, en werd iets na middernacht getorpedeerd door Schnellboot S-175. 
Slechts 12 van de 26 opvarenden overleefden de aanval. ";67.4;11.3;Ja;Neen;Staal;9.2;;0.3;53.2;20/03/2024;7.9;491881    5679475;9.2;9.6;6.8;;;;;;;MV RIO BRAVO - voorschip;Verenigd Koninkrijk;nvt;Everard F.T. & Sons Ltd., London, UK;;"Bij de aanval op de Rio Bravo werd het schip in meerdere stukken gebroken. Deze staken gedurende enkele jaren boven het wateroppervlak. 
enkele fragmenten te zien, evenals een container?";01/05/1960;Barnes Duluth Shipbuilding Company, Duluth, US;#;Geborgen;Neen;03/11/1944;Tanker;;;;
;;;;;BE-110-244-01;;;;482017.1;5669717.6;Wrak;;;;;;;Neen;Neen;Staal;5.6;;;;25/02/2025;;;5.6;;;;;;;;;onbekend;;;;;;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;0.0;
;;3.7;;;BE-119-301-01;1907.0;4.4;12/11/1984;502063.7;5685040.5;Wrak;;;286.0;"Minensuchboot M-3600 had er reeds een (Franse) militaire carrière opzitten als AD-30 toen hij op 21 mei 1940 in Duinkerke werd geraakt door een Duitse vliegtuigbom. Het schip bleef twee jaar gezonken in Duinkerke liggen, vooraleer het op 20 mei 1942 door de Duitse marine werd gelicht, opgelapt, en omgedoopt naar M-4617. In december 1942 verhuisde het schip naar de 36. Minensuch-Flotille in Oostende en kreeg de naam M-3600.
Het schip verging voor een tweede keer op 17 september 1943 na aanvarig met een mijn.

Het verhaal van minensuchboote M-3600, M-3604 en M-3606:
Op 17 september 1943, omstreeks 20 uur, verlieten M3607, M-3601, M-3604, M-3605 en M-3606 de haven van Oostende richting Zeebrugge. Ze zouden M-3600, M-3620, KFK3669 en HS FN 09 komende van Vlissingen tegemoet gaan en verder begeleiden naar Oostende.
Ter hoogte van de Wenduinebank deden zich twee zware mijnontploffingen voor onder M-3604. Deze verdween onmiddellijk onder water. M-3601 en M-3605 kwamen ter plaatse om bemanningsleden uit het water te helpen. De andere minensuchboote zetten de rubberboten uit om iets meer vanop afstand te kunnen helpen.
Om 22u42 volgde een ontploffing op M-3606, op 50 meter van waar M-3604 was vergaan. 
Niet veel later naderde de vloot vanuit Vlissingen de site. M-3601 probeerde hen met lichtsignalen te waarschuwen voor het mijnenveld. Voor de koptrekker kwamen de waarschuwingen te laat... M-3600 voer om 23u05 tegen een mijn en verging onmiddellijk op ongeveer 500 meter van M-3606.
In totaal vielen 9 doden, 18 gewonden, en 10 personen werden vermist. ";43.3;6.7;Ja;Neen;Staal;4.9;;1.1;263.9;07/03/2024;38.4;502076    5685043;4.9;6.0;8.0;1997 / 05-069;;;;;;minensuchboot M-3600;Duitsland;JACQUES COEUR, CRABE, AD-30, M-4617;Kriegsmarine, DE;;"De M-3600 ligt op bakboordzijde. Het voorschip is (waarschijnlijk door de onploffing) volledig vernield en niet terug te vinden. 
Het dek van het achterschip is intact.";;De la Brosse & Fouché, Nantes, FR;4,9 Wk_;Enkele fragmenten;WO II;17/09/1943;Mijnenveger;;;;
;;6.4;;;BE-127-229-01;1916.0;23.6;13/06/1989;464222.0;5701630.5;Wrak;;;2248.0;"De SS Sint Annaland werd samen met de SS Friesland en de SS Limburg ingezet om kolen te bunkeren in Newcastle.
Op 2 maart 1940 bevonden ze zich aan de monding van de Tyne waar ze plots werden aangevallen door Duitse bommenwerpers. Sint Annaland raakte licht beschadigd aan het bovendek, maar dat belemmerde de verdere reis niet.
Op 17 maart vertrok het schip, geladen met kolen, terug richting Nederland samen met SS Schieland, SS Nieuwland en SS Schokland. Ze voeren met een tussenafstand van 500 meter achter elkaar, SS Sint-Annaland achteraan.
Tussen de Fairybank en de Westhinder raakte SS Sint Annaland een mijn. De 21 opvarenden konden de reddingsboten uitzetten en het schip verlaten vooraleer het openscheurde en verging.";83.2;12.3;Ja;Neen;Staal;24.6;;-1.9;132.8;20/02/2007;113.3;;32.6;30.7;15.0;1997 / 05-069;;;;;;SS SINT ANNALAND;Nederland;nvt;Scheepvaart- en Steenkolenmaatschappij, Rotterdam, NL;;Het wrak bevindt zich volledig omgedraaid en is op 3 verschillende plaatsen gebroken. ;;Werf Gusto NV, Schiedam, NL;23,0 Wk_;Gebroken;Neen;;Vrachtschip;1.0;0.0;1.0;
;;;;;BE-116-258-01;;;;498823.4;5679960.1;Wrak;;;;;;;Neen;Neen;Staal;4.5;;;;18/03/2024;;;4.5;4.8;;;;;;;;onbekend;;;;;De site betreft ijzeren resten. Het is niet duidelijk of het hier om een volledig vaartuig gaat. ;;;geen;Verzand, geen zichtbare resten;;;;;;;
